song,song_type,film_name,year,language,lyricist,composer,singer
Title music,Film song,Sapan Suhaane,1961,Hindi,Not applicable,Salil Chowdhury,Not applicable
Dil kahtaa hai zaraa to dum le lo,Film song,Sapan Suhaane,1961,Hindi,Shailendra,Salil Chowdhury,Manna Dey & Chorus
o..gori aa jaa gaDDi vichh bai’ ja,Film song,Sapan Suhaane,1961,Hindi,Shailendra,Salil Chowdhury,Lata & Manna Dey
Nazar se mil gayee nazar - Film version,Film song,Sapan Suhaane,1961,Hindi,Shailendra,Salil Chowdhury,Sabita Chowdhury & Dwijen Mukherjee
Nazar se mil gayee nazar - record version,Film song,Sapan Suhaane,1961,Hindi,Shailendra,Salil Chowdhury,Sabita Chowdhury & Dwijen Mukherjee
Naam mera nimmo muqaam ludhiyaanaa,Film song,Sapan Suhaane,1961,Hindi,Shailendra,Salil Chowdhury,"Lata, Manna Dey & Dwijen Mukherjee"
Ghoonghat haTaa na denaa goriye,Film song,Sapan Suhaane,1961,Hindi,Shailendra,Salil Chowdhury,Lata & Chorus
Lo sun lo ye meraa afsaana,Film song,Sapan Suhaane,1961,Hindi,Shailendra,Salil Chowdhury,Manna Dey & Chorus
Chaand kabhi thaa baa.nho.n mei.n,Film song,Sapan Suhaane,1961,Hindi,Shailendra,Salil Chowdhury,Sabita Chowdhury
Title music ,Film song,Half Ticket,1962,Hindi,Not applicable,Salil Chowdhury,Not applicable
cheel cheel chillaa ke,Film song,Half Ticket,1962,Hindi,Shailendra,Salil Chowdhury,Kishore
Wo ek nighaah kyaa milee,Film song,Half Ticket,1962,Hindi,Shailendra,Salil Chowdhury,Lata & Kishore
Aa ke seedhi lagi dil pe jaise kaTariyaa,Film song,Half Ticket,1962,Hindi,Shailendra,Salil Chowdhury,Kishore
"rey le lo, ji le lo hai ye dil kaa heera",Film song,Half Ticket,1962,Hindi,Shailendra,Salil Chowdhury,Kishore
aa.nkho.n mei.n tum dil mei.n tum ho,Film song,Half Ticket,1962,Hindi,Shailendra,Salil Chowdhury,Geeta Dutt & Kishore
"Chaa.nd raat, tum ho saath",Film song,Half Ticket,1962,Hindi,Shailendra,Salil Chowdhury,Lata & Kishore
"Arey, waah mere maalik",Film song,Half Ticket,1962,Hindi,Shailendra,Salil Chowdhury,Kishore
Title music,Film song,Jhoolaa,1962,Hindi,Not applicable,Salil Chowdhury,Not applicable
"Aag paani mei.n lagi, oy hoy kaise",Film song,Jhoolaa,1962,Hindi,Rajinder kishan,Salil Chowdhury,"Md. Rafi, Lata & Chorus"
"Sajnaa, teraa dil, meraa dil, gayaa mil",Film song,Jhoolaa,1962,Hindi,Rajinder kishan,Salil Chowdhury,Lata
aa.nkho.n ke kaajal ki le kar siyaahi,Film song,Jhoolaa,1962,Hindi,Rajinder kishan,Salil Chowdhury,Lata
Door bahot aabaadi se,Film song,Jhoolaa,1962,Hindi,Rajinder kishan,Salil Chowdhury,Lata & Mukesh
Ek samay par do barsaatei.n,Film song,Jhoolaa,1962,Hindi,Rajinder kishan,Salil Chowdhury,Manna Dey
"Unse bichhaD ke jab hum, roye to aise",Film song,Jhoolaa,1962,Hindi,Rajinder kishan,Salil Chowdhury,Lata
Insaa.n ki zindagi hai (2 lines only),Film song,Jhoolaa,1962,Hindi,Rajinder kishan,Salil Chowdhury,Md. Rafi
Title music,Film song,Prem Patra,1962,Hindi,Not applicable,Salil Chowdhury,Not applicable
Do a.nkhiyaa.n jhuk jhuki si,Film song,Prem Patra,1962,Hindi,Rajinder kishan,Salil Chowdhury,Lata & Mukesh
ab aur naa kuchh bhi yaad rahaa,Film song,Prem Patra,1962,Hindi,Rajinder kishan,Salil Chowdhury,Lata
"Khush ho rahe the pehle, Thukraa ke",Film song,Prem Patra,1962,Hindi,Rajinder kishan,Salil Chowdhury,Lata
Saavan ki raato.n mein aisa bhi hota hai,Film song,Prem Patra,1962,Hindi,Gulzar,Salil Chowdhury,Lata & Talat
Ye mere andhere ujaale na hotay,Film song,Prem Patra,1962,Hindi,Rajinder kishan,Salil Chowdhury,Lata & Talat
Title music,Film song,Chand aur Sooraj,1965,Hindi,Not applicable,Salil Chowdhury,Not applicable
Baagh mei.n kali khili bagihaa mehki,Film song,Chand aur Sooraj,1965,Hindi,Shailendra,Salil Chowdhury,Asha Bhonsle
"Jhanana jhana baaje, bochhuaa baaje",Film song,Chand aur Sooraj,1965,Hindi,Shailendra,Salil Chowdhury,Lata
"Tumhei.n dil se chaaha, tumhei.n dil diya hai",Film song,Chand aur Sooraj,1965,Hindi,Shailendra,Salil Chowdhury,Suman Kalyanpur & Md. Rafi
Teri yaad na dil se jaa saki,Film song,Chand aur Sooraj,1965,Hindi,Shailendra,Salil Chowdhury,Lata
Meri aur unki preet puraani,Film song,Chand aur Sooraj,1965,Hindi,Shailendra,Salil Chowdhury,Asha Bhonsle
"Kisi ne jaadoo kiyaa, meraa man moho liyaa",Film song,Chand aur Sooraj,1965,Hindi,Shailendra,Salil Chowdhury,Mukesh
Title music,Film song,Poonam ki Raat,1965,Hindi,Not applicable,Salil Chowdhury,Not applicable
"Kisi ne jaadoo kiyaa, meraa man moho liyaa",Film song,Poonam ki Raat,1965,Hindi,Shailendra,Salil Chowdhury,Asha Bhonsle & Chorus
Tum ye kahaa.n le chaley ho,Film song,Poonam ki Raat,1965,Hindi,Shailendra,Salil Chowdhury,Lata & Mukesh
"Sapno.n mei.n mere, koi aaye jaaye",Film song,Poonam ki Raat,1965,Hindi,Shailendra,Salil Chowdhury,"Lata, Usha & Mukesh"
"Bhole piyaa, jaane kyaa tumne kiyaa",Film song,Poonam ki Raat,1965,Hindi,Shailendra,Salil Chowdhury,Asha Bhonsle & Chorus
Saathi re.. tujh bin jiyaa udaas re,Film song,Poonam ki Raat,1965,Hindi,Shailendra,Salil Chowdhury,Lata
Dil taDape taDpaaye,Film song,Poonam ki Raat,1965,Hindi,Shailendra,Salil Chowdhury,Md. Rafi
"Neechaa kaam, oonchaa naam",Film song,Pinjre ki Panchhi,1966,Hindi,Shailendra,Salil Chowdhury,Manna Dey
Mere nayanaa paakhi bechaare,Film song,Pinjre ki Panchhi,1966,Hindi,Shailendra,Salil Chowdhury,Lata
Aane de apnee..kubDa chhaDhey ghoDi,Film song,Pinjre ki Panchhi,1966,Hindi,Gulzar,Salil Chowdhury,"Manna Dey, Meena Kumari & Mehmood"
"Jhoom le, jhoom le ai matwaale dil",Film song,Pinjre ki Panchhi,1966,Hindi,Shailendra,Salil Chowdhury,Asha Bhonsle & Chorus
"Manzil teri khoj mei.n, kitni sadiyaa.n",Film song,Pinjre ki Panchhi,1966,Hindi,Shailendra,Salil Chowdhury,Lata
ye duniyaa kaisaa gorakh dhandaa,Film song,Pinjre ki Panchhi,1966,Hindi,Shailendra,Salil Chowdhury,Manna Dey
Suno re suno deskh ke hindu musalmaan,Film song,Netaji Subhas Chandra Bose,1966,Hindi,Pradeep,Salil Chowdhury,Manna Dey
Jhankaaro jhankaaro jhananana jhanjhan,Film song,Netaji Subhas Chandra Bose,1966,Hindi,Pradeep,Salil Chowdhury,"Sabita, Hemant & Chorus"
"Janmabhoomi maa, mai.n yehaa.n tu wahaa.n",Film song,Netaji Subhas Chandra Bose,1966,Hindi,Pradeep,Salil Chowdhury,Sabita & Hemant
"Ab jang shuroo kal se, ab kal se sangram",Film song,Netaji Subhas Chandra Bose,1966,Hindi,Pradeep,Salil Chowdhury,Md. Rafi
"Dushmano.n saavadhaan, shatruo.n",Film song,Netaji Subhas Chandra Bose,1966,Hindi,Pradeep,Salil Chowdhury,"Md. Rafi, Hemant & Chorus"
Title music,Film song,Jawaab aayega,1966,Hindi,Not applicable,Salil Chowdhury,Not applicable
Naa dir dir dir taanaa,Film song,Jawaab aayega,1966,Hindi,Unknown,Salil Chowdhury,Unknown
akkad pakkad,Film song,Jawaab aayega,1966,Hindi,Unknown,Salil Chowdhury,Unknown
Shaam se,Film song,MIttti ka Dev,1968,Hindi,Gulzar,Salil Chowdhury,Mukesh
Title music,Film song,Anand,1970,Hindi,Not applicable,Salil Chowdhury,Not applicable
Zindagi kaisi hai paheli haaye,Film song,Anand,1970,Hindi,Yogesh,Salil Chowdhury,Manna Dey
Maine tere liye hi saat rang ke sapne chune,Film song,Anand,1970,Hindi,Yogesh,Salil Chowdhury,Mukesh
Kahi.n door jab din Dhal jaaye,Film song,Anand,1970,Hindi,Yogesh,Salil Chowdhury,Mukesh
"Naa, jiyaa laage naa",Film song,Anand,1970,Hindi,Yogesh,Salil Chowdhury,Lata
Mil jaa mil jaa ab to mil jaa,Film song,Gehra Raaz,1971,Hindi,Akhtar Romani,Salil Chowdhury,Hemlata
